textos,labels
brasil   gobierno federal establecer norma general escuela responsabilidad directo   excepción   escuela primario secundaria   principalmente local   municipio   regional      nivel alto grado autonomia determinacion plan estudio   grupo objetivo brindar asesoria tecnico necesario forma programa metodologia educativo oficial   facilitar inclusion concepto financiero curriculo normal escuela primario secundaria,4
encontrar resultado similar estudio epidemiologico atencion primario país   ejemplo   kessler et    tasa tratamiento aumentar edad   dato encuesta nacional australia   unidos suiza mostrar tratamiento frecuente edad 45 ano   particularmente menor 35   dato eurobarometro confirmar patron   mostrar aumento continuo tasa tratamiento grupo edad   figurar 3 4   promedio 21 país ocde 9   persona joven   15   24 ano    14   adulto   25 54 ano   17   persona mayor   55 64 ano   fuente   calculo ocde basado    encuesta nacional salud prevalencia trastorno eurobarometro 2005 tasa tratamiento,3
maestro estudiante cuarto ano dtep habiar reunido lce examen diciembre 2010   pregunta respondida estadistica repetir cuestionario   respuesta escribir encuestado   tasa retorno 60 ciento   alcanzar facilmente saturacion vistas punto similar relacionado,4
esencial mejorar calidad disponibilidad instalación parto aumentar numero partera profesional salud conocimiento obstetrico     movilizacion comunidad vital garantizar mujer embarazado utilizar servicio parto calificado   estrategia dual dirigido lograr cobertura universal atencion calificado parto   contexto enfoque atencion primaria salud,3
competencia importante comprender abordar forma criticar cuestión relacionado ciencia tecnologia   convertir rapidamente omnipresent   demostrar compromiso ciencia actitud positivo ciencia estrechamente relacionado   forma depender dominio ciencia alumno   concreto   relacion positivo rendimiento ciencia expectativa futuro carrera cientifica alumno disfrutar aprender ciencia,4
  intervención seriar facil ampliar país región   ejemplo   metodo madre canguro   consistir bebe contacto piel pecho desnudo madre amamantar él exclusivamente   respaldado   generalmente país africano asiatico   incluir abordar escasez personal salud   eliminar barrera financiero mejorar acceso atencion trav estrategia prestacion innovadora   cambio tarea   delegacion tarea trabajador salud especializado  ,3
necesitar ano volver capacitar capacitar nuevamente lemdesigner atencion pleno aprendizaje   diferencia diversidad   orientacion competencia     diseno inverso    desarrollo plan estudio   instruccion diferenciado evaluacion   reconocimiento experiencia conllevar aprendizaje profundo fortalecer programa comenzo 2009 objetivo capacitar   asesorar cambiar practica docente mejorar resultado aprendizaje area especifico,4
ejemplo   objetivo aumentar proporcion cirugia   agregar 126 procedimiento quirurgico realizar él cirugia 2011   alto proporcion especialista altamente remunerado baja proporcion enfermera medico generar costo presión   agravar él produjerar aumento sustancial salario trabajador salud retener él sistema   arreglo combinacion habilidad probablemente dependar consideración productividad   preferencia trabajador salud paciente   factor economico social   prueba sugerir tarea tradicionalmente realizar medico transferir él enfermera altamente calificado   socavar calidad atencion       medico hungaro tender tarea medica administrativo realizar enfermera personal apoyo   gal et   2003   orosz hollo   2001  ,3
contribucion ingreso empleo nacional   agroindustria potencial aumentar ingreso acceso alimento pobre zona rural   depender medida agricultura sustento   lograr creacion negocio procesamiento pequén escala hogar requerir inversion   trav mecanismo   desbordamiento    procesamiento agricola impactar potencialmente pobreza hogar sostenible,1
interesado    trabajar padre   mostrarl resultado progreso logro hijo   persuadir padre hijo discapacitado escuela   aumento numero nino discapacitado matriculado escuela preescolar primario   22 44 ciento aimag utilacer enfoque   basar centro recurso educacion inclusivo establecido save the childrar instituto educacion   principal institucion formacion inicial docente,4
situación conflicto armado crisis refugiado lugar demanda suministro emergencia   incluido sustancia sometido fiscalizacion internacional fin medico     suministro depender totalmente ayuda emergencia   entrega area inadecuar limitado   contexto   jife desear llamar atencion tema especial publicado informe anual 2014 disponibilidad estupefaciente sustancia psicotropica situación emergencia39 recordar   virtud derecho internacional humanitario   parte conflicto armado obligacion impedir prestacion atencion medico poblacion civil ubicado territorio control efectivo   incluir acceso estupefaciente sustancia psicotropica necesario,3
esperanza vida mujer letona 65 ano alcanzo 18 9 ano 2015   frente 16 8 ano 2000    esperanza vida 65 ano hombre alcanzar 14 2 ano   frente 12 3 ano 2000      ano ganado vivir salud 65 ano   hombre mujer letón esperar vivir ano ano restante libre discapacidad   corresponder 30   ano restante   salud funcional poblacion letonar mejorar medida envejecer   envejecimiento poblacion ejercero inevitablemente presión adicional sistema sanitario cuidado largo duracion,3
proporcionar informacion extensa comparable internacionalmente habilidad estudiante antecedente familiar comunitario   pís ofrecer medida unico evaluar progreso ods analizar inclusion equidad educacion 1 perspectiva internacional   sentido   sistema educativo proporcion joven 15 ano adquirir competencia basica necesario participar plenamente sociedad considerar suficientemente inclusivo   lugar   acceso educacion ver él condicion previo nino beneficien educacion   acceso reflejar principalmente tasa matriculacion escolar   sistema equitativo inclusivo lograr minimizar proporcion joven edad escolar matriculado retraso significativo progreso escuela   innovación desarrollado trabajador calificado requerir fuerza laboral adquirir habilidad basica,4
esfuerzo profesional seguir forma moderno educacion medico continuo infancia   mitigar esfuerzo impulsar ganancia calidad servicio atencion medico   implementar sistema seguimiento localizacion dispositivo medico rastrear ubicacion dispositivo medico     paciente   resultado,3
papel combinado comprador proveedor nivel municipal proponer importante asignacion recurso sector salud   documento abogar analisis detallado impacto tenencia fondo   relación contractual incentivo nivel gobierno   inclusion indicador calificacion medida eficiencia   factor implicar crecimiento continuo gasto salud aumentar bienestar social   explorar medida disminuir carga financiamiento mejorar bienestar nivel gasto   mediano plazo   demanda atencion salud ver él influido crucial fomento estilo vida saludable   discutir bolin asgeirsdottir   disenar politica efectivo,3
formacion educacion personal ecec afectar calidad servicio resultado principalmente trav conocimiento   habilidad competencia transmitir fomentar profesional   importante personal creer capacidad organizar ejecutar curso accion necesario lograr resultado deseado   fivar   2003    calificación importante terminos conjunto habilidad conocimiento reconocer importante trabajar nino pequeno,4
elegibilidad categorico independiente ingreso hogar   2009   sistema contar 38 categoria distinto beneficiario 14 tipo prestación subsidio   mayoria pagar especie   ejemplo   transferencia directo empresa servicio publico   2009   285 000 beneficiario recibir prestacion estatal categorico   csb    costar 800 millón kgs50   gassmann   2010b  ,1
centro aepi calidad responder naturaleza dinamico vida nino   esfuerzo vincularar mejora calidad aepi medida politica mejorar equidad acceso   calidad atencion infancia educacion preescolar    medir   dato canada referir tasa neta escolarizacion ajustado   ano edad oficial acceso ensenanza primario   sexo   ciento  ,4
importante destacar politica regulacion competencia estimular atencion integrado   requerir claridad parte interesado acerca interpretarar practica regla torno competencia integracion   evolucion tal modelo necesitar estandarizar adaptar él necesidad salud especifico comunidad local   revision iniciativas1 considerado exitosa aumentar integracion encontro   abarcar país diferiar diseno sistema pago   denominador comun alto grado empaquetamiento sistema pago   presupuesto utilizado pagar multipl componente atencion sanitario social persona   hagbjer   2012    iniciativa integrar prestacion atencion sanitario social organizacion,3
dato estadistico israel suministrar responsabilidad autoridad israeli pertinente   dicho dato ocde perjuicio alto golan   jerusalir asentamiento israeli cisjordania termino derecho internacional   situacion deberio mejorar tiempo   tasa general ingreso programa terciario alto eslovenia   reflejar amplio acceso educacion superior   2007   esperar 88   cohorte edad relevante asistir programa terciario academico vocacional algun momento vida   superar sustancialmente promedio ocde 71  ,4
similar   turquia lograr reduccion promedio alto 6 9    anual mortalidad infantil 1970 2011   seguir ocde corea   6 4    anual   portugal   6 8    anual    proteccion financiero mejorar   gasto publico salud representar 73   gasto salud   ligeramente promedio ocde 72  ,3
aumento ingreso agricola zona rural   compensar caida ingreso aumento precio consumidor   camerun   cambio absoluto tasa pobreza infantil urbano periodo crisis simulado 1 punto porcentual mayor area rural   alto poblacion area rural contribucion absoluto pobreza nacional fuerte   burkina faso crisis afectar principalmente nino vivir zona rural,1
colaboracion medico cabecero mejoro   considero   exito espectacular   medico cabecera escaso informar teniar exceso trabajo   alto rotacion medicos cabecero dificulto formacion relación psiquiatra     modelo sugerir flexibilidad mejorar acceso salud mental justificar exploracion   autor senalar modelo sostenible arreglo normal ffs   exito depender compromiso financiar él adecuadamente,3
estudiante preferir inscribir él curso companero   estudiante optar curso facil mejorar calificación posibilidad aprobar     opción inscripcion conducir camino educacion continuo calificación significativo   resultar callejón salida estudiante rastreado opción   impacto negativo fuerte producir seguimiento,4
reforma descentralizacion educativo generalmente linea caracteristica financiamiento local   definitiva   voz participacion comunitario   autonomia local escolar   competencia escuela   reforma reflejar reasignación recurso cambio comportamiento agente escolar,4
educacion atencion infancia universal país ue22   país europeo   95   nino   4 ano edad escolarizacion obligatorio   participar educacion infantil   2005 2015 lograr avance significativo aumentar alcance educacion terciario adulto,4
plan especializacion abordar preocupacion cirujano responsable politico dinamarca servicio especializado prestar circunstancia potencialmente insegura   evaluar sistematicamente impacto reforma   importante formulador politica utilizar cambio oferta servicio hospitalario impulsar mejora calidad atencion   ayudar evaluar exito plan monitorear calidad continuo   dhma buscar hospital monitoreir internamente dato desempeno medico individual   esfuerzo sistema realizar evaluar desempeno hospital especializado,3
singapur derecho 100 hora anual desarrollo profesional profesor estir rapido cambio producir mundo poder mejorar practica   singapur   país   mejorar sistema evaluacion rendimiento   asegurar él profesor evaluar ano grupo persona funcion 16 competencia 0 profesor trabajo sobresaliente recibir bonificacion fondo bonificación centro   alto calidad profesor país funcion politica determinar reserva extraar inicialmente profesor   remuneracion   estatus profesor   alto nivel ingreso programa universitario formacion profesorado   calidad preparacion inicial atencion prestado calidad preparacion incorporacion inicial   país mejor resultado escolar sindicato profesor fuerte   empezar japon finlandia,4
revision 57 informe investigacion empirico formacion profesorado unidos realizado wilson   flodir ferrini mundy   2003   poner manifiesto relacion positivo preparacion profesor asignaturas rendimiento alumno   reconocer solucion lograr eficacia profesorado complejo   simplemente exigir especializacion asignatura    p   2    mostrar impacto positivo preparacion pedagogico practica docente resultado alumno   encontrar relacion positivo cualificacion profesor   sustituto   requisito licencia   rendimiento alumno,4
ejemplo   fines decada 2000   lanzar sistema seguro nacional brindar cobertura salud gratuito hogar linea pobreza   limite anual   esquema implementar ampliar linea pobreza   iniciar programa objetivo ampliar cobertura atencion medica,3
vincular dato registro   incluir relativo mortalidad   potencial ampliacion   registro electronico normalizado vinculacion dato reducirio carga suponer personal atencion primario registro dato duplicado multipl registro calidad   mejora   normalizacion racionalizacion arquitectura informacion apoyar mejora calidad coordinacion asistencia sanitario   incluir atencion primario   deberio prioridad   abordar cuestión practica conllevar   necesario liderazgo cambio cultura atencion primario vencer resistencia recogida dato   promover potencial dato referencia mejora calidad apoyo paciente  ,3
país ocde hogar pagar promedio 40    costo producto farmaceutico bolsillo   kazajstan cifra 84     ocde   2018    medicamento prescrito atencion primario generalmente pagar paciente proporcionar forma gratuito paciente   enfermedad socialmente significativo   lista       puntir disponible cobertura medicamento hospitalario   terminos cantidad   determinado afeccion   aliviar carga costo medicamento paciente   gobierno ir ampliar gradualmente paquete beneficio medicamento ambulatorio introduccion 2005   persistir alto costo bolsillo,3
necesario hincapie competencia general permitirar persona adaptar él rapido cambio mercado laboral capacidad aprender vida   rapido cambio requisito habilidad vida laboral   aprendizaje permanente   actualizacion habilidad actualizacion habilidades importante   estudiante tradicional   combinar trabajo estudio obligación familiar   necesario implementar forma flexible provision trav educacion distancia   linea basado trabajo     permitir él asistencia base aprendizaje formal informal,4
disuadir estudiante reacio riesgo entorno desfavorecido participar educacion superior lugar   enfrentar él dificultad financiero estudio   patron matricula grado educacion profesional universitario pregrado región revelar mayoria estudiante asistir institución educacion superior región residencia   ejemplo   estudiante universidad ljubljana provenir region central eslovenia   osrednjeslovenska regija    ljublján,4
función temporal realizar él peticion director centro   direccion centro autonomia distribuir función especifico temporal profesor centro   país     personal apoyo aprendizaje   soler ayudar profesor labor docente   prestar apoyo alumno contribuir actividad general centro relacionado aprendizaje   personal apoyo aprendizaje comun  kazajstan ayudante laboratorio asignatura fisico   quimicar   biologia informatico,4
acceso informacion complementar él apoyo padre interpretar informacion seleccionar escuela adecuado hijo   informacion disponible idioma extranjero seleccionado accesible padre alfabetizacion limitado   ocde   2010 ii4     implicar capacidad tomar decision informado individuo   gustar valor eleccion relacionado grupo sociedad   padre clase medio   allar   2007 32    reay allen   1997 33     necesidad gestionar admision estudiante nivel socioeconomico    economico criterio admision selectivo   ocde   2015 22     requerir garantizar adoptir criterio equidad escuela dar prioridad estudiante desfavorecido arreglo financiacion hacer estudiante desfavorecido atractivo escuela alto rendimiento   ocde   2015 22     ,4
  trabajo disminuyo mantener estable mayoria país   enfoque basado tarea   ejemplo   mostrar proporción empleo trabajo tarea rutinario   tradicionalmente compuesto trabajador calificacion medio   disminuir 53   41   1995 2010   tiempo   haber aumento participacion empleo abstracto   28   38      menor medida   trabajo manual rutinario   18   21     similar   enfoque basado empleo   tomar consideracion ocupacion particular industria particular   evidencia polarizacion laboral mostrar patron forma cambio empleo decil laboral mitad país,1
wiley comparo rea cepillo diente   ofrecer potencial mejorar higiene dental   thoma   2010   wiley   2011    tecnologia educativo generalmente clasificar proposito relacion entorno ensenanza aprendizaje existente utilizar   modelo samr desarrollado puentedura   2006   constituir marco aplicar utilizar rea ensenanza aprendizaje,4
  caber esperar aumento nivel ingreso posterior reforma asistencia social   trabajo   efecto positivo nino   revision evidencia reforma bienestar resultado nino unidos   waldfogel   2007   concluir vulnerable desempeno deficiente resultado cambio politica joven   menor ano   adolescente   probable ocurrar efecto perjudicial ganancia ingreso   madre trabajar empleo salario bajo hora   trabajo reducir cantidad tiempo padre nino   trabajo trabajo estandar    hora trabajo viaje largo    evidencia apoyar medida inversion servicio ano cunha heckmar   2005   argumentar intervencion temprano romper vinculo pobreza infancia resultado vida posterior crucial forma desarrollar habilidad    habilidad engendro habilidad   aprendizaje engendra aprendizaje   primero ventaja acumular   primero desventaja    intervención posterior valer pena   costoso intervenir afectar resultado adolescente,1
  adulto finlandés participar curso programa aprendizaje adulto mayoria par país   desempeno educativo solido   entender finlandia   incluir nivel participacion acceso educacion   distribucion uniforme resultado aprendizaje escuela alumno   asequibilidad costo educacion   igualdad oportunidad educativo valor principal principio rector politica educativo finlandés decada 1960   virtud educacion finlandés facil acceso oportunidad educativo alto calidad financiada fondo publico,4
  costa rico   asignación constituir proporcion salario maestro   forma evaluacion externo ayudar garantizar efectivo recompensa financiero reconocer incentivar practica docente   investigacion internacional mostrar perspectiva carrera   diversidad carrera otorgar docente responsabilidad profesional importante mantener docente motivar   particularmente sistema costa rico   ensenanza trabajo vida   schleicher   2013    pista incluir posición   mostrar continuacion   2008   declaracion centro educativo calidad eje educacion costarricense marco punto inflexion   afirmar importancia compromiso escolar elevar resultado educativo,4
  cribado considerar él forma aislado   necesario prestar atencion calidad atencion proceso tratamiento cancer   cribado cardiovascular   evaluar él rentabilidad chequeo general bienal republica checo   demostrar él forma convincente rentabilidad   desinvertir él destinar fondo iniciativa basado prueba reducir tabaquismo   obesidad consumo nocivo alcohol   cancer   prevencion diagnostico precoz aislar él modelo holistico atencion enfermedad largo duracion   particular   necesario prevencion secundario enfermedad cardiovascular,3
pobreza absoluto empezar pasar historia   idea medir pobreza relativo luchar nacer   comodidad conveniencia    argumentar    lujo ayer necesidad manán    propuesta encontrar pleno aceptacion unidos   vear recuadro 10   unidos   redibujar line    townsend pionero indicador monetario medir pobreza privacion,1
modelo comprender escalabilidad itep incluir mecanismo cambio proceso adopcion innovacion profesor escuela   modelo formacion centrado transmision conocimiento habilidades eficaz provocar cambio practica pedagogico   modelo registrar cambio satisfactorio proporcionar aprendizaje basado experiencia orientado accion   profesor colaborar comunidad practica   looi   lim chen   2008  ,4
rocha   2006    pobreza brasil persistio decada   resolver problema inflacion problema social comenzar tratar prioridad   reduccion desigualdad ejemplo   explicar pequén produccion articu él estudiar triangulo pobreza crecimiento desigualdad brasil     implementacion politica publica dirigido reduccion desigualdad   resolver problema   ayudar indirectamente objetivo politica economico   aumento tasa crecimiento reduccion pobreza,1
país restante 13   reduccion tmm5 nacional impacto neutro distribucion sanitario     probable mejora conjunto sociedad ir acompanada aumento disminucion desigualdad     llegar grupo necesario esfuerzo ambito   mejorar comunicacion autoridad local grupo destinatario   facilitar participacion comunidad local acceso educacion informacion aumentar sensibilizacion poblacion cuestión sanitario  ,3
haber numero creciente persona morir causa diabetes   relacionado creciente prevalencia diabetes tipo ii   mortalidad alto ue   numero persona morir alzheimer demencia triplicadir ano 2000   reflejar envejecimiento poblacion   diagnostico falta tratamiento efectivo   codificacion preciso   principal problema salud   fatal   grave consecuencia limitar vida,3
problema tipo estudio ignorar efecto transferencia precio   transferencia efectivo reducir esencialmente coste obtener servicio     deberiar lugar demanda   ejemplo   educacion infantil   utilizacion servicio social   ejemplo   centro atencion sanitario      efecto neto transferencia efectivo deberio depender tamano relativo efecto precio ingreso   importante   conclusión efecto adverso incentivo   efecto negativo ingreso   oferta trabajo implicar pobre pobre   vago    palabra   preferir ocio   expectativa   baja    palabra   trabajar ingreso minimo bajo  ,1
  diferencia urbano rural caso hambre relativo pobreza   pma asia pacifico   rdp lao incidencia 60 8     incidencia similar 3 0    bangjadesh 33 0    timor leste   vear   ahmed et   resultado bangladesh mostrar   deficiencia energia alimentario problema importante pais   dieta bajo calidad afectar persona   calidad dieta   hogar rural claro desventaja,1
ayudar establecer plan tratamiento   monitorear respuesta tratamiento evaluar resultado   facilitar colaboracion personal medico paciente entorno ubicación geograficamente remoto   servicio salud   telemedicina teleconsulta   facilitar paciente acceder diagnostico consejo experto tratamiento facilmente disponible,3
país proceso introducir tic hospital centro salud     mencionar   definicion internacional acordado descripcion     medicion   establecimiento salud    indicador establecido cercano numero cama hospital 10 000 habitante,3
vejez   reflejar nivel cobertura seguro salud acceso atencion medico   tasa cobertura aumentar proporcion edad   88 1   mayor 80 ano 63 1   60 64 ano    brasil   70   persona mayor cubierto sistema publico   paraguay   calcular 83   persona mayor ningun tipo seguro medico   caso enfermedad   pagar factura recibir tratamiento   oiss   2007  ,3
unico determinante   razon   axiomatico caida ingreso familiar deber significar nivel crecient privacion infantil   probable gobierno tener exito proteger nino pobreza esforzar reducir numero hogar bajo ingreso ayudar proporcionar bien   servicio oportunidad esencial nino crecer hogar,1
coste esquizofrenia gbp 6700000000 inglaterra 2004 05   detalle iapt   consultar seccion 4 1   mayoria atencion salud mental servicio salud   excepcion copago fijo receta   recibir forma gratuito punto pagar nhs autoridad local   organizacion benefico salud inglés independiente the king s fund estimar costo directo enfermedad mental poblacion inglaterra gbp 22 5 mil millón ano   mccronir et    evidencia mostrar 30   persona vivir enfermedad plazo condicion salud fisico problema salud mental comorbido   cimpear drakir 2011   estudio internacional sugerir problema salud mental comorbido aumentar costo atencion condición plazo 45    ocde   2014   contado estimacion gasto salud mental nhs,3
momento practica   anna gromada terminar master desarrollo internacional institut d fctud politiqu pari   scienz po    documento formar trabajo revision politica mejorar eficacia recurso escuela   revision recurso escolar   ocde incluir revisión luz debate version   edu edpc sr 20l4 3l reunion grupo experto nacional recurso escolar   14 15 mayo 2014    revision proporcionar analisis asesoramiento politico ayudar gobierno escuela alcanzar objetivo eficacia eficiencia educacion,4
medicina moderno llamar medicina convencional   mm    medicina alopatico   medicina convencional   medicina moderno   medicina ortodoxo   medicina tradicional   medicina occidental medicina clinico   implicar enfoque atencion salud practicado país desarrollado   basar dato cientifico diagnosticar tratar enfermedad   mm suponer fenomeno fisiologico patologico explicar termino concreto   herramienta mm incluir sistema modelo huma yo   estudio ciego estadistica analisis asegurar resultado reproducibl,3
documento concluir metodo acelerar despliegue norma sanidad publico personal     garantizar plenamente despliegue insuficiencia falta coincidencia requisito proveedor tic usuario cercano   particular   cuestion suponer obstaculo rapido lanzamiento servicio sanidad electronico nación emergente     país soler requerir lanzamiento servicio agil publicacion norma  ,3
pakistar   ejemplo   baluchistar   provincia frontera noroeste   nwfp    area tribal administracion federal   fatar   zona predominantemente tribal   desgracia   mayoria muerte infantil deber causa evitabl diarrea   infección respiratorio   tetanos 3   mejora condición vida acceso servicio sanitario redundario rapido mejora salud infantil región   efecto   cifra escandaloso tasa nacional mortalidad materno descender 400 100 000 2004 2005 276 2006 2007,3
analizar continuacion   procedimiento realizar frecuencia kazajstan   implicar probable acceso desigual   paciente derivado probabilidad ingresar     82    llegar ambulancia   56    autorreferencia   49     razon comun negar admision paciente   incluir referencia   falta necesidad medico   procedimiento planificado representar actividad quirurgico mayoria hospital kazajo   ingreso planificado ocupar cama destinado actividad planificado   postergacion atencion necesario   convertir él barrera acceso   tiempo espera parecer corto   volumen procedimiento quirurgico realizado   comparación hacer él cautela,3
captura informacion preciso condición particular   permitir comparar resultado paciente variedad condición   paciente completar encuesta 3 6 mes procedimiento quirurgico evaluar intervencion mejoro salud   dato nivel hospital informar publicamente   ajuste combinacion caso aplicado garantizar poder comparación significativo hospital   area clinica utilizar prom encontrar atencion cardiaco   cancer mama reumatismo   atencion fractura cadera cirugia columna   proposito evaluar paciente necesitar chequeo   prueba tratamiento promover atencion alto valor,3
2009   lander cubrir 72 2   gasto educacion primario   secundario postsecundaria terciario   publicar privado    autoridad local cubrir 17 5   nivel federal 10 3    educacion extraescolar sistema dual financiar empresa   escuela formacion profesional financiar lander,4
adulto maximo titulo secundaria inferior   titulo educacion formal educacion primario   promedio ocde   adulto padre nivel educativo 15    posibilidad obtener educacion terciaria   calculo basado    encuesta habilidad adulto   ocde   2016b    contrario   adulto padre alto nivel educativo probabilidad   63     obtener titulo terciario,4
tercio país   nino teniar probabilidad sufrir privación severo jubilado   diferencia absoluto 2 punto porcentual   principalmente país tasa privacion infantil medio   6    espana 9    italia   hungrio   tasa privacion infantil alto   22      fuente   eurostat   ultima actualizacion 04 06 2014    país teniar nino gravemente privado   país   nino sufrio privación grave   grecia   21      letonia   27      hungria   33      rumania   38     bulgario   47      tercio país   proporcion nino desfavorecido supero poblacion general 2 punto porcentual   observar él diferencia   9 punto porcentual   hungria rumania,1
hijo austeridad   impacto recesion pobreza infantil país rico   oxford university press   http    dx doi org 10 1093 oso 9780198797968 003 0012    geografia i5 intergeneracional   uk 28401 l helping patents to parent report pdf   consultado 7 agosto 2018    org p hdl  improv 1608 html   consultar 11 abril 2018    org file     c   users thevenon downloads 4448 157 5923 l 10 20180213 pdf   handbook of labor economics   4a   https    economics ubc ca fil 2013 05 pdf paper nico él fortin decomposition method pdf   consultado 10 abril 2018  ,1
seguir argumento proporcionado detalle lugar   neubourg plavgo   2012    documento documento antecedente complementario report card 10 centro investigacion innocenti unicef   bradshaw et   2012   analizar pobreza monetario privacion relacionado conceptualmente distinto   principal argumento tratamiento separado relacionar medida tradicional pobreza monetario medida privacion contar historia   indicador monetario pobreza brindar indicacion medio financiero hogar satisfacer necesidad   indicador privacion brindar informacion grado necesidad satisfacer realmente   resultado combinacion variable incluir ingreso recurso disponible hogar   decisión gasto hogar   disponibilidad bien servicio   publico   economia general   combinacion indicador privacion dato pobreza monetario indice conducir perdida dimensión lugar obtener conocimiento agregar dimensión,1
preocupacion particular tasa obesidad aumentar rapidamente   traer consecuencia enfermedad potencialmente devastador costoso diabetes     proporcion poblacion tener empleo informal   red seguridad social desarrollado   frente desafiante constelacion circunstancia   mexico necesitar sistema salud respondar necesidad cambiant persona   capaz ofrecer atencion continuo personalizado   orientacion proactivo preventivo   rentable sostenible   inversion considerable financiado fondo publico sistema salud traducir mejor resultado salud,3
gobierno indonesia deberio aumentar progresivamente gasto prestacion publicar servicio educacion infantil poder acceder familia pobre   estandar minimo licencia común pais   desarrollar conjunto estandar minimo servicio ecce linea desarrollado sector escuela madraza,4
  dinamarca preve coherencia formacion educacion inicial docente personal eapi   enfoque comun garantizara coherencia mejor oportunidad cooperacion eapi escuela   vear capitulo 3      equipo trabajo garantizar cooperacion   senalir informe inspeccion escolar sueco   inspeccion escolar sueco   2015     celo profesional falta comprension descrito anteriormente obstruir cooperacion   equipo trabajo,4
centro ofrecer tipo servicio   centro especializado rvcc determinado campo formacion cualificación especifico   centro cualificacion ofrecer formacion   encontrar institución ofrecer   personal centro incluir coordinador   personal tecnico especializado rvcc   formador profesor especializado campo cualificación centro ofrecer reconocimiento,4
reflejar sistema educativo   caracterizar extenso sistema planificacion norma   kazajstan utilizar planificacion estrategico nacional establecer ampliamente vision pais   regular aspecto sistema educativo nivel central   serie estrategia documento planificacion   particular programa estatal desarrollo educacion republica kazajstan 2011 20   sped    garantizar coherencia guian formulacion politica,4
recompensa distribuir maestro asistente educacion escuela premiado   norma especificar 90   subsidio desempeno excelencia distribuirar docente proporcion numero hora contrato individual   recurso restante distribuir él programa incentivo especial disenado escuela individual,4
direccion ministerio salud ministerio economia   aifa coordinar actividad relacionado producto farmaceutico operar autonomo transparente   politica farmaceutica establecer agencia suponer aplicar él uniforme pais   trav negociacion empresa farmaceutica   determinar precio medicamento reembolsado    sns   agencia administrar valor costo medicamento garantizar rapido acceso medicamento innovador eficiente,3
pobreza forma surgir amplio gama circunstancia   causa provocar hombre sistemica ambiental   significar persona vivir pobreza sistema   palabra   pobreza resultado intervención politica eficaz ineficaz   politica tender eficaz sistema interdependient   coordinar dirigir racionalmente accion colectivo determinado direccion   persona depender suficiente sistema   sentir pellizco  ,1
  provision bienestar influencia sustancial distribuir ingreso mercado lugar   senala ocde   bienestar maximizar empleo ingreso tendrar distribucion equitativo ingreso original   politica fomentar empleo   particularmente grupo alto riesgo   familia monoparental   herramienta eficaz reduccion pobreza transferencia     transferencia publica influir decisión empleo ingreso persona   eleccion arreglo vivienda   particular   respaldar ingreso padre soltero   riesgo persona elijar arreglo vivienda     corrar riesgo pobreza   sawhill   2006   argumentar diferencia comportamiento mayor rico pobre   particular relacion educacion   matrimonio maternidad   politica centrar él cambio comportamiento   particular aumentar papel transferencia monetario condicionado       mayoria estudio empirico decisión asociacion sugerir sistema impuesto beneficio producir pequeno efecto comportamiento   adams brewer   2010  ,1
iniciativa contribuir medida sensibilizar opinion publicar evaluacion desarrollar cultura evaluacion sistema escolar   incluir evaluación nacional alumno etapa educativo clave   serie encuesta usuario   portal escolar internet serie herramienta autoevaluacion centro escolar   ejemplo    prueba mapeo   diagnostico    creacion desarrollo nkvs   responsable politico pretendiar desplazar atencion politica insumo proceso centrar él resultado educacion   nusche et    ,4
  recopilacion analisis sistematico resultado evaluacion proporcionar informacion nivel sistema desarrollo posterior politica fortalecer liderazgo escuela   numero país cabo evaluación proporcionar retroalimentacion informar desarrollo profesional   caso   evaluacion consecuencia sumativa lider escolar rendimiento lider escolar lograr mejorar calificacion insatisfactorio introduccion plan mejora   ejemplo   forma utilizar resultado diferir desempeno lider escolar evaluacion   nivel tipo escuela,4
mayoria universidad mejorar desempeno ultima decado   necesitar enfoque mejorar calidad proceso induccion   experiencia ano mecanismo apoyo apropiado estudiante generacion ayudar él completar estudio adquirir habilidad relevante empleo emprendimiento instituto tafe universidad victoria teniar informacion limitado desempeno graduado   graduatar career australia s australiar graduate survey proporcionar vision adecuado empleo graduado,4
importante brindar informacion orientacion padre aumentar inscripcion educacion preescolar nino   independientemente condicion socioeconomico   gobierno garantizar educacion preescolar calidad disponible nivel local   especialmente familia desfavorecido concentrar area geografica   gobierno desarrollar mecanismo justo eficiente subsidiar educacion preescolar aliviar carga financiero familia,4
probar medicina rural crear deseo permanecer lugar graduar él   universidad sydney 20   graduado programa rural ocupar puesto capacitacion posgrado rural   disponible   mason   2013    surgimiento especialista   particularmente cirugia   contribuir problema mano obra zona rural australia   programa generalista rural comenzo ano queensland   permitir medico cabecera capacitir poder desempenar función especializado   anestesista obstetricia     programa ampliar,3
gobierno rumano tomar medida desarrollar plan accion nacional resistencia antimicrobiano   dato utilizado comparación internacional calidad atencion salud   tasa letalidad hospitalario infarto agudo miocardio accidente cerebrovascular isquemico   disponible rumania     dato recopilar   tasa infección nosocomial hospital   confiable autoridad nacional gestion calidad atencion salud   establecido 2015   desarrollar estrategia garantia calidad ampliar proceso acreditacion hospital proveedor atencion salud,3
